"Wavelength, nm",E-490 W/m2/nm
735.0,1.65
737.0,1.61
739.0,1.62
741.0,1.63
743.0,1.6
745.0,1.56
747.0,1.61
749.0,1.6
751.0,1.53
753.0,1.38
755.0,1.55
757.0,1.57
759.0,1.56
761.0,1.56
763.0,1.54
765.0,1.55
767.0,1.52
769.0,1.52
771.0,1.51
773.0,1.51
775.0,1.5
777.0,1.49
779.0,1.48
781.0,1.46
783.0,1.47
785.0,1.46
787.0,1.45
789.0,1.45
791.0,1.44
793.0,1.42
795.0,1.43
797.0,1.39
799.0,1.39
801.0,1.42
803.0,1.4
805.0,1.38
807.0,1.39
809.0,1.37
811.0,1.37
813.0,1.35
815.0,1.33
817.0,1.33
819.0,1.35
821.0,1.35
823.0,1.35
825.0,1.32
827.0,1.33
829.0,1.32
831.0,1.31
833.0,1.31
835.0,1.28
837.0,1.26
839.0,1.29
841.0,1.28
843.0,1.28
845.0,1.27
847.0,1.26
849.0,1.26
851.0,1.26
853.0,1.25
855.0,1.24
857.0,1.24
859.0,1.24
861.0,1.22
863.0,1.19
865.0,1.2
867.0,1.2
869.0,1.21
871.0,1.19
873.0,1.2
875.0,1.19
877.0,1.19
879.0,1.18
881.0,1.18
883.0,1.18
885.0,1.17
887.0,1.16
889.0,1.14
891.0,1.13
893.0,1.15
895.0,1.14
897.0,1.14
899.0,1.13
901.0,1.12
903.0,1.12
905.0,1.1
907.0,1.11
909.0,1.12
911.0,1.11
913.0,1.1
915.0,1.06
917.0,1.08
919.0,1.07
921.0,1.08
923.0,1.08
925.0,1.08
927.0,1.06
929.0,1.05
931.0,1.04
933.0,1.05
935.0,1.04
937.0,1.04
939.0,1.04
941.0,1.02
943.0,1.03
945.0,1.02
947.0,0.966
949.0,0.996
951.0,0.878
953.0,0.976
955.0,1.01
957.0,0.997
959.0,0.995
961.0,0.999
963.0,0.886
965.0,0.94
967.0,0.975
969.0,0.983
971.0,0.971
973.0,0.964
975.0,0.975
977.0,0.955
979.0,0.951
981.0,0.958
983.0,0.938
985.0,0.944
987.0,0.953
989.0,0.939
991.0,0.933
993.0,0.939
995.0,0.934
997.0,0.916
999.0,0.892
1002.5,0.929
1007.5,0.918
1012.5,0.903
1017.5,0.892
1022.5,0.897
1027.5,0.907
1032.5,0.9
1037.5,0.895
1042.5,0.891
1047.5,0.863
1052.5,0.859
1057.5,0.861
1062.5,0.877
1067.5,0.868
1072.5,0.865
1077.5,0.864
1082.5,0.855
1087.5,0.858
1092.5,0.844
1097.5,0.825
1102.5,0.832
1107.5,0.838
1112.5,0.841
1117.5,0.837
1122.5,0.832
1127.5,0.808
1132.5,0.808
1137.5,0.819
1142.5,0.815
1147.5,0.809
1152.5,0.801
1157.5,0.795
1162.5,0.797
1167.5,0.796
1172.5,0.794
1177.5,0.782
1182.5,0.783
1187.5,0.778
1192.5,0.775
1197.5,0.776
1202.5,0.77
1207.5,0.766
1212.5,0.762
1217.5,0.754
1222.5,0.757
1227.5,0.756
1232.5,0.753
1237.5,0.751
1242.5,0.748
1247.5,0.747
1252.5,0.726
1257.5,0.714
1262.5,0.734
1267.5,0.731
1272.5,0.726
1277.5,0.721
1282.5,0.714
1287.5,0.711
1292.5,0.704
1297.5,0.702
1302.5,0.705
1307.5,0.703
1312.5,0.699
1317.5,0.694
1322.5,0.691
1327.5,0.682
1332.5,0.684
1337.5,0.677
1342.5,0.676
1347.5,0.675
1352.5,0.671
1357.5,0.66
1362.5,0.664
1367.5,0.662
1372.5,0.659
1377.5,0.655
1382.5,0.656
1387.5,0.645
1392.5,0.642
1397.5,0.644
1402.5,0.646
1407.5,0.64
1412.5,0.632
1417.5,0.624
1422.5,0.633
1427.5,0.628
1432.5,0.628
1437.5,0.627
1442.5,0.625
1447.5,0.61
1452.5,0.618
1457.5,0.621
1462.5,0.61
1467.5,0.62
1472.5,0.616
1477.5,0.585
1482.5,0.598
1487.5,0.596
1492.5,0.604
1497.5,0.593
1502.5,0.597
1507.5,0.595
1512.5,0.592
1517.5,0.591
1522.5,0.584
1527.5,0.584
1532.5,0.583
1537.5,0.582
1542.5,0.574
1547.5,0.58
1552.5,0.577
1557.5,0.566
1562.5,0.57
1567.5,0.565
1572.5,0.568
1577.5,0.564
1582.5,0.566
1587.5,0.557
1592.5,0.553
1597.5,0.553
1602.5,0.551
1607.5,0.555
1612.5,0.553
1617.5,0.549
1622.5,0.546
1627.5,0.548
1632.5,0.546
1637.5,0.544
1642.5,0.532
1647.5,0.533
1652.5,0.533
1657.5,0.53
1662.5,0.531
1667.5,0.528
1672.5,0.532
1677.5,0.527
1682.5,0.518
1687.5,0.519
1692.5,0.524
1697.5,0.516
1702.5,0.51
1707.5,0.519
1712.5,0.508
1717.5,0.509
1722.5,0.516
1727.5,0.515
1732.5,0.508
1737.5,0.494
1742.5,0.5
1747.5,0.507
1752.5,0.495
1757.5,0.504
1762.5,0.489
1767.5,0.488
1772.5,0.493
1777.5,0.494
1782.5,0.493
1787.5,0.49
1792.5,0.488
1797.5,0.485
1802.5,0.485
1807.5,0.482
1812.5,0.477
1817.5,0.479
1822.5,0.475
1827.5,0.473
1832.5,0.472
1837.5,0.47
1842.5,0.465
1847.5,0.464
1852.5,0.462
1857.5,0.464
1862.5,0.463
1867.5,0.462
1872.5,0.457
1877.5,0.457
1882.5,0.455
1887.5,0.453
1892.5,0.453
1897.5,0.45
1902.5,0.448
1907.5,0.447
1912.5,0.442
1917.5,0.445
1922.5,0.445
1927.5,0.443
1932.5,0.445
1937.5,0.444
1942.5,0.436
1947.5,0.401
1952.5,0.426
1957.5,0.433
1962.5,0.431
1967.5,0.426
1972.5,0.425
1977.5,0.422
1982.5,0.422
1987.5,0.418
1992.5,0.419
1997.5,0.414
2002.5,0.411
2012.5,0.414
2022.5,0.412
2032.5,0.411
2042.5,0.403
2052.5,0.402
2062.5,0.398
2077.5,0.402
2092.5,0.402
2107.5,0.399
2122.5,0.398
2137.5,0.395
2152.5,0.391
2167.5,0.388
2182.5,0.386
2197.5,0.389
2212.5,0.387
2227.5,0.383
2247.5,0.379
2262.5,0.381
2282.5,0.38
2302.5,0.377
2322.5,0.377
2342.5,0.372
2362.5,0.374
2382.5,0.372
2402.5,0.368
2422.5,0.369
2442.5,0.367
2467.5,0.368
2492.5,0.366
2517.5,0.366
2542.5,0.363
2567.5,0.36
2592.5,0.362
2617.5,0.361
2642.5,0.356
2672.5,0.358
2702.5,0.358
2732.5,0.355
2762.5,0.355
2797.5,0.353
2832.5,0.353
2867.5,0.351
2907.5,0.351
2947.5,0.349
2987.5,0.349
3025.0,0.349
3075.0,0.343
3125.0,0.344
3175.0,0.343
3235.0,0.343
3295.0,0.343
3355.0,0.342
3425.0,0.335
3495.0,0.338
3575.0,0.339
3665.0,0.339
3755.0,0.336
3855.0,0.332
3965.0,0.331
4085.0,0.328
4225.0,0.329
4385.0,0.326
4575.0,0.33
4805.0,0.328
5085.0,0.329
5445.0,0.328
5925.0,0.319
6615.0,0.319
7785.0,0.32
10075.0,0.322
