"Wavelength, nm",E-490 W/m2/nm
675,1.51E+00
677,1.51E+00
679,1.50E+00
681,1.49E+00
683,1.48E+00
685,1.46E+00
687,1.47E+00
689,1.46E+00
691,1.45E+00
693,1.45E+00
695,1.44E+00
697,1.42E+00
699,1.43E+00
701,1.39E+00
703,1.39E+00
705,1.42E+00
707,1.40E+00
709,1.38E+00
711,1.39E+00
713,1.37E+00
715,1.37E+00
717,1.35E+00
719,1.33E+00
721,1.33E+00
723,1.35E+00
725,1.35E+00
727,1.35E+00
729,1.32E+00
731,1.33E+00
733,1.32E+00
735,1.31E+00
737,1.31E+00
739,1.28E+00
741,1.26E+00
743,1.29E+00
745,1.28E+00
747,1.28E+00
749,1.27E+00
751,1.26E+00
753,1.26E+00
755,1.26E+00
757,1.25E+00
759,1.24E+00
761,1.24E+00
763,1.24E+00
765,1.22E+00
767,1.19E+00
769,1.20E+00
771,1.20E+00
773,1.21E+00
775,1.19E+00
777,1.20E+00
779,1.19E+00
781,1.19E+00
783,1.18E+00
785,1.18E+00
787,1.18E+00
789,1.17E+00
791,1.16E+00
793,1.14E+00
795,1.13E+00
797,1.15E+00
799,1.14E+00
801,1.14E+00
803,1.13E+00
805,1.12E+00
807,1.12E+00
809,1.10E+00
811,1.11E+00
813,1.12E+00
815,1.11E+00
817,1.10E+00
819,1.06E+00
821,1.08E+00
823,1.07E+00
825,1.08E+00
826,1.08E+00
828,1.08E+00
830,1.06E+00
832,1.05E+00
834,1.04E+00
836,1.05E+00
838,1.04E+00
840,1.04E+00
842,1.04E+00
844,1.02E+00
846,1.03E+00
848,1.02E+00
850,9.66E-01
852,9.96E-01
854,8.78E-01
856,9.76E-01
858,1.01E+00
860,9.97E-01
862,9.95E-01
864,9.99E-01
866,8.86E-01
868,9.40E-01
870,9.75E-01
872,9.83E-01
874,9.71E-01
876,9.64E-01
878,9.75E-01
880,9.55E-01
882,9.51E-01
884,9.58E-01
886,9.38E-01
888,9.44E-01
890,9.53E-01
892,9.39E-01
894,9.33E-01
896,9.39E-01
898,9.34E-01
900,9.16E-01
902,8.92E-01
904,9.29E-01
906,9.18E-01
908,9.03E-01
910,8.92E-01
912,8.97E-01
914,9.07E-01
916,9.00E-01
918,8.95E-01
920,8.91E-01
922,8.63E-01
924,8.59E-01
926,8.61E-01
928,8.77E-01
930,8.68E-01
932,8.65E-01
934,8.64E-01
936,8.55E-01
938,8.58E-01
940,8.44E-01
942,8.25E-01
944,8.32E-01
946,8.38E-01
948,8.41E-01
950,8.37E-01
952,8.32E-01
954,8.08E-01
956,8.08E-01
958,8.19E-01
960,8.15E-01
962,8.09E-01
964,8.01E-01
966,7.95E-01
968,7.97E-01
970,7.96E-01
972,7.94E-01
974,7.82E-01
976,7.83E-01
978,7.78E-01
980,7.75E-01
982,7.76E-01
984,7.70E-01
986,7.66E-01
988,7.62E-01
990,7.54E-01
992,7.57E-01
994,7.56E-01
996,7.53E-01
998,7.51E-01
1000,7.48E-01
1002,7.47E-01
1004,7.26E-01
1006,7.14E-01
1008,7.34E-01
1010,7.31E-01
1012,7.26E-01
1014,7.21E-01
1016,7.14E-01
1018,7.11E-01
1020,7.04E-01
1022,7.02E-01
1024,7.05E-01
1026,7.03E-01
1028,6.99E-01
1030,6.94E-01
1032,6.91E-01
1034,6.82E-01
1036,6.84E-01
1038,6.77E-01
1040,6.76E-01
1042,6.75E-01
1044,6.71E-01
1046,6.60E-01
1048,6.64E-01
1050,6.62E-01
1052,6.59E-01
1054,6.55E-01
1056,6.56E-01
1058,6.45E-01
1060,6.42E-01
1062,6.44E-01
1064,6.46E-01
1066,6.40E-01
1068,6.32E-01
1070,6.24E-01
1072,6.33E-01
1074,6.28E-01
1076,6.28E-01
1078,6.27E-01
1080,6.25E-01
1082,6.10E-01
1084,6.18E-01
1086,6.21E-01
1088,6.10E-01
1090,6.20E-01
1092,6.16E-01
1094,5.85E-01
1096,5.98E-01
1098,5.96E-01
1100,6.04E-01
1102,5.93E-01
1104,5.97E-01
1106,5.95E-01
1108,5.92E-01
1110,5.91E-01
1112,5.84E-01
1114,5.84E-01
1116,5.83E-01
1118,5.82E-01
1120,5.74E-01
1122,5.80E-01
1124,5.77E-01
1126,5.66E-01
1128,5.70E-01
1130,5.65E-01
1132,5.68E-01
1134,5.64E-01
1136,5.66E-01
1138,5.57E-01
1140,5.53E-01
1142,5.53E-01
1144,5.51E-01
1146,5.55E-01
1148,5.53E-01
1150,5.49E-01
1152,5.46E-01
1154,5.48E-01
1156,5.46E-01
1158,5.44E-01
1160,5.32E-01
1162,5.33E-01
1164,5.33E-01
1166,5.30E-01
1168,5.31E-01
1170,5.28E-01
1172,5.32E-01
1174,5.27E-01
1176,5.18E-01
1178,5.19E-01
1180,5.24E-01
1182,5.16E-01
1184,5.10E-01
1186,5.19E-01
1188,5.08E-01
1190,5.09E-01
1192,5.16E-01
1194,5.15E-01
1196,5.08E-01
1198,4.94E-01
1200,5.00E-01
1202,5.07E-01
1204,4.95E-01
1206,5.04E-01
1208,4.89E-01
1210,4.88E-01
1212,4.93E-01
1214,4.94E-01
1216,4.93E-01
1218,4.90E-01
1220,4.88E-01
1222,4.85E-01
1224,4.85E-01
1226,4.82E-01
1228,4.77E-01
1230,4.79E-01
1232,4.75E-01
1234,4.73E-01
1236,4.72E-01
1238,4.70E-01
1240,4.65E-01
1242,4.64E-01
1244,4.62E-01
1246,4.64E-01
1248,4.63E-01
1250,4.62E-01
1252,4.57E-01
1254,4.57E-01
1256,4.55E-01
1258,4.53E-01
1260,4.53E-01
1262,4.50E-01
1264,4.48E-01
1266,4.47E-01
1268,4.42E-01
1270,4.45E-01
1272,4.45E-01
1274,4.43E-01
1276,4.45E-01
1278,4.44E-01
1280,4.36E-01
1282,4.01E-01
1284,4.26E-01
1286,4.33E-01
1288,4.31E-01
1290,4.26E-01
1292,4.25E-01
1294,4.22E-01
1296,4.22E-01
1298,4.18E-01
1300,4.19E-01
1302,4.14E-01
1304,4.11E-01
1306,4.14E-01
1308,4.12E-01
1310,4.11E-01
1312,4.03E-01
1314,4.02E-01
1316,3.98E-01
1318,4.02E-01
1320,4.02E-01
1322,3.99E-01
1324,3.98E-01
1326,3.95E-01
1328,3.91E-01
1330,3.88E-01
1332,3.86E-01
1334,3.89E-01
1336,3.87E-01
